"boarding_stop_id","stop_no","match_status","match_method","confidence"
"4240018","2286","inferred","molit_legal_district_and_kakao_region_unique","medium"
"4240454","2124","inferred","unique_stop_name_candidate","high"
"4240496","2388","inferred","unique_stop_name_candidate","high"
"4240536","1201","inferred","unique_stop_name_candidate","high"
"4240719","2000","inferred","unique_stop_name_candidate","high"
"4241009","1632","inferred","unique_stop_name_candidate","high"
"4241374","1169","inferred","unique_stop_name_candidate","high"
"4241554","1224","inferred","molit_legal_district_and_kakao_region_unique","medium"
"4242072","1248","inferred","unique_stop_name_candidate","high"
"4242202","1753","inferred","molit_legal_district_and_kakao_region_unique","medium"
"4242388","2331","inferred","unique_stop_name_candidate","high"
"4242542","2495","inferred","unique_stop_name_candidate","high"
"4242547","1735","inferred","unique_stop_name_candidate","high"
"4242709","2642","inferred","unique_stop_name_candidate","high"
"4242875","2842","inferred","unique_stop_name_candidate","high"
