boarding_stop_id,stop_no,match_status,match_method,confidence
4241039,1597,inferred,tago_route_number_and_adjacent_stop_unique,medium
4242090,2104,inferred,tago_route_number_and_adjacent_stop_unique,medium
4240413,2175,inferred,tago_route_number_and_adjacent_stop_unique,medium
4242480,1067,inferred,tago_route_number_and_adjacent_stop_unique,medium
4240498,2416,inferred,tago_route_number_and_adjacent_stop_unique,medium
4241493,2017,inferred,tago_route_number_and_adjacent_stop_unique,medium
4242180,1868,inferred,tago_route_number_and_adjacent_stop_unique,medium
4240469,2561,inferred,tago_route_number_and_adjacent_stop_unique,medium
4240437,2145,inferred,tago_route_number_and_adjacent_stop_unique,medium
4240657,1372,inferred,tago_route_number_and_adjacent_stop_unique,medium
4240790,1525,inferred,tago_route_number_and_adjacent_stop_unique,medium
4240187,1693,inferred,tago_route_number_and_adjacent_stop_unique,medium
4242071,2458,inferred,tago_route_number_and_adjacent_stop_unique,medium
4242379,2272,inferred,tago_route_number_and_adjacent_stop_unique,medium
4242467,2809,inferred,tago_route_number_and_adjacent_stop_unique,medium
4240535,1314,inferred,tago_route_number_and_adjacent_stop_unique,medium
4242299,1038,inferred,tago_route_number_and_adjacent_stop_unique,medium
4241029,1609,inferred,tago_route_number_and_adjacent_stop_unique,medium
4240929,2599,inferred,tago_route_number_and_adjacent_stop_unique,medium
4241062,2605,inferred,tago_route_number_and_adjacent_stop_unique,medium
4242878,2856,inferred,tago_route_number_and_adjacent_stop_unique,medium
4241943,1384,inferred,tago_route_number_and_adjacent_stop_unique,medium
4241372,1171,inferred,tago_route_number_and_adjacent_stop_unique,medium
4240267,1851,inferred,tago_route_number_and_adjacent_stop_unique,medium
4241234,2251,inferred,tago_route_number_and_adjacent_stop_unique,medium
4242885,1336,inferred,tago_route_number_and_adjacent_stop_unique,medium
4242887,1358,inferred,tago_route_number_and_adjacent_stop_unique,medium
4240533,1203,inferred,tago_route_number_and_adjacent_stop_unique,medium
