"승차자료 정류장 ID","국토부 정류장명","국토부 법정동","정류장 번호","춘천시 관리번호","춘천시 정류장명","경도","위도","국토부 기준일","춘천시 위치정보 기준일"
"4240150","남부지구대","석사동","2111","250002134","남부지구대","127.74541","37.86152","2025-06-13","2026-03-26"
"4240164","소양강댐사택","신북읍","2095","265000803","소양강댐사택","127.79357","37.93266","2025-06-13","2026-03-26"
"4240165","소양강댐정상","신북읍","2094","250002117","소양강댐정상","127.81268","37.9476","2025-06-13","2026-03-26"
"4240197","(구)102보충대","신북읍","1515","250001784","(구)102보충대","127.71229","37.9408","2025-06-13","2026-03-26"
"4240198","(구)102보충대","신북읍","1514","250001783","(구)102보충대","127.7122","37.94131","2025-06-13","2026-03-26"
"4240229","오항리종점","북산면","1637","250001992","오항리종점","127.90446","37.97754","2025-06-13","2026-03-26"
"4240261","새말교","서면","2149","250002172","새말교","127.61068","37.8465","2025-06-13","2026-03-26"
"4240268","강촌유원지","남산면","1465","250001732","강촌유원지","127.63349","37.81359","2025-06-13","2026-03-26"
"4240315","천전2리","신북읍","1557","250001910","천전2리","127.76946","37.93053","2025-06-13","2026-03-26"
"4240321","용산1리","신북읍","1619","250001973","용산1리","127.71073","37.94282","2025-06-13","2026-03-26"
"4240482","남부초교","퇴계동","1134","250001327","남부초교","127.72749","37.85927","2025-06-13","2026-03-26"
"4240483","퇴계동입구","퇴계동","1133","250001326","퇴계동입구","127.72772","37.85927","2025-06-13","2026-03-26"
"4240524","용산1리","신북읍","1326","250001158","용산1리","127.71417","37.93921","2025-06-13","2026-03-26"
"4240525","용산1리","신동","1325","250001157","용산1리","127.71395","37.93905","2025-06-13","2026-03-26"
"4240694","정족1리입구","신동면","1259","250027151","정족1리입구","127.73103","37.84277","2025-06-13","2026-03-26"
"4240901","명진학교","우두동","1817","250001496","명진학교","127.73477","37.89997","2025-06-13","2026-03-26"
"4240940","방곡1리","남산면","1782","250001451","방곡1리","127.63992","37.7978","2025-06-13","2026-03-26"
"4240942","방곡1리","남산면","1780","250001449","방곡1리","127.63895","37.80055","2025-06-13","2026-03-26"
"4240943","방곡1리","남산면","1779","250001448","방곡1리","127.63972","37.7977","2025-06-13","2026-03-26"
"4240968","애니메이션박물관","서면","1675","250002033","애니메이션박물관","127.69007","37.89253","2025-06-13","2026-03-26"
"4240981","현진에버빌1차","석사동","1661","250002018","현진에버빌1차","127.74756","37.85038","2025-06-13","2026-03-26"
"4240989","오동초등학교","신북읍","1656","265000745","화물공영차고지","127.76246","37.822","2025-06-13","2026-03-26"
"4240992","오월리입구","서면","1652","250002007","오월리입구","127.65562","37.97852","2025-06-13","2026-03-26"
"4241019","용산1리","신북읍","1620","250001974","용산1리","127.71044","37.94275","2025-06-13","2026-03-26"
"4241025","용산3리","신북읍","1613","250001967","용산3리","127.70755","37.94519","2025-06-13","2026-03-26"
"4241026","용산3리","신북읍","1612","250001966","용산3리","127.70727","37.94574","2025-06-13","2026-03-26"
"4241058","월송2리입구","서면","1574","250027152","월송2리입구","127.69386","37.91848","2025-06-13","2026-03-26"
"4241059","월송3리종점","서면","1573","250001927","월송3리종점","127.67553","37.91713","2025-06-13","2026-03-26"
"4241310","율문3리","신북읍","1100","250001291","율문3리","127.76539","37.92999","2025-06-13","2026-03-26"
"4241508","시립청소년도서관","삼천동","2059","250002082","시립청소년도서관","127.70845","37.87139","2025-06-13","2026-03-26"
"4241516","신동배터","신동","2049","250002072","신동배터","127.71618","37.93685","2025-06-13","2026-03-26"
"4241517","신동배터","신동","2048","250002071","신동배터","127.7165","37.93694","2025-06-13","2026-03-26"
"4241523","신매1리","서면","2040","250002063","신매1리","127.70277","37.93588","2025-06-13","2026-03-26"
"4241586","(구)농업기술원","우두동","1932","250001612","(구)농업기술원","127.73562","37.90052","2025-06-13","2026-03-26"
"4241640","전인고등학교","동산면","1357","250001189","전인고등학교","127.75204","37.78755","2025-06-13","2026-03-26"
"4241665","공지천사거리","근화동","2002","250001683","공지천사거리","127.71475","37.8741","2025-06-13","2026-03-26"
"4241709","발산1리","남면","1949","250001629","발산1리","127.60022","37.73091","2025-06-13","2026-03-26"
"4241724","당림1리","서면","1931","250001611","당림1리","127.60278","37.83525","2025-06-13","2026-03-26"
"4241835","송암리마을회관","사북면","1214","250001035","송암리마을회관","127.68645","37.99544","2025-06-13","2026-03-26"
"4241886","방동2리입구(보건소)","서면","1178","250000994","방동2리입구(보건소)","127.68068","37.89606","2025-06-13","2026-03-26"
"4241891","방곡1리","남산면","1778","250001447","방곡1리","127.64243","37.79498","2025-06-13","2026-03-26"
"4241911","춘천국유림관리소","신북읍","1421","250026864","춘천국유림관리소","127.77287","37.93059","2025-06-13","2026-03-26"
"4241912","춘천국유림관리소","신북읍","1420","250026865","춘천국유림관리소","127.7728","37.93036","2025-06-13","2026-03-26"
"4241930","추곡3거리","남면","1398","250027119","추곡3거리","127.65088","37.74507","2025-06-13","2026-03-26"
"4242165","한덕리","남면","2262","250000040","한덕리","127.61342","37.67881","2025-06-13","2026-03-26"
"4242167","율문3리","신북읍","1552","250001905","율문3리","127.7664","37.92981","2025-06-13","2026-03-26"
"4242171","의암","신동면","1547","265000702","의암","127.68296","37.82649","2025-06-13","2026-03-26"
"4242300","후동2리입구","남면","1035","265000755","해안사입구","127.79685","37.92853","2025-06-13","2026-03-26"
"4242301","후동2리입구","남면","1034","265000754","해안사입구","127.79727","37.92908","2025-06-13","2026-03-26"
